iso_code,continent,location,,
JEY,Europe,Jersey,,
JOR,Asia,Jordan,,
KAZ,Asia,Kazakhstan,,
KEN,Africa,Kenya,,
OWID_KOS,Europe,Kosovo,,
KWT,Asia,Kuwait,,
KGZ,Asia,Kyrgyzstan,,
LAO,Asia,Laos,,
LVA,Europe,Latvia,,
LBN,Asia,Lebanon,,
LSO,Africa,Lesotho,,
LBR,Africa,Liberia,,
LBY,Africa,Libya,,
LIE,Europe,Liechtenstein,,
LTU,Europe,Lithuania,,
LUX,Europe,Luxembourg,,
MAC,Asia,Macao,,
MDG,Africa,Madagascar,,
MWI,Africa,Malawi,,
MYS,Asia,Malaysia,,
MDV,Asia,Maldives,,
MLI,Africa,Mali,,
MLT,Europe,Malta,,
MTQ,North America,Martinique,,
MRT,Africa,Mauritania,,
MUS,Africa,Mauritius,,
MYT,Africa,Mayotte,,
MEX,North America,Mexico,,
MDA,Europe,Moldova,,
MCO,Europe,Monaco,,
MNG,Asia,Mongolia,,
MNE,Europe,Montenegro,,
MSR,North America,Montserrat,,
MAR,Africa,Morocco,,
MOZ,Africa,Mozambique,,
MMR,Asia,Myanmar,,
NAM,Africa,Namibia,,
NPL,Asia,Nepal,,
NLD,Europe,Netherlands,,
NIC,North America,Nicaragua,,
NER,Africa,Niger,,
NGA,Africa,Nigeria,,
OWID_NAM,North America,North America,,
PRK,Asia,North Korea,,
MKD,Europe,North Macedonia,,
OWID_CYN,Asia,Northern Cyprus,,
OWID_NIR,Europe,Northern Ireland,,
NOR,Europe,Norway,,
OMN,Asia,Oman,,
PAK,Asia,Pakistan,,
PSE,Asia,Palestine,,
PAN,North America,Panama,,
PRY,South America,Paraguay,,
PER,South America,Peru,,
PHL,Asia,Philippines,,
POL,Europe,Poland,,
PRT,Europe,Portugal,,
PRI,North America,Puerto Rico,,
QAT,Asia,Qatar,,
REU,Africa,Reunion,,
ROU,Europe,Romania,,
RUS,Europe,Russia,,
RWA,Africa,Rwanda,,
BLM,North America,Saint Barthelemy,,
SHN,Africa,Saint Helena,,
KNA,North America,Saint Kitts and Nevis,,
LCA,North America,Saint Lucia,,
MAF,North America,Saint Martin (French part),,
SPM,North America,Saint Pierre and Miquelon,,
VCT,North America,Saint Vincent and the Grenadines,,
SMR,Europe,San Marino,,
STP,Africa,Sao Tome and Principe,,
SAU,Asia,Saudi Arabia,,
OWID_SCT,Europe,Scotland,,
SEN,Africa,Senegal,,
SRB,Europe,Serbia,,
SYC,Africa,Seychelles,,
SLE,Africa,Sierra Leone,,
SGP,Asia,Singapore,,
SXM,North America,Sint Maarten (Dutch part),,
SVK,Europe,Slovakia,,
SVN,Europe,Slovenia,,
SOM,Africa,Somalia,,
ZAF,Africa,South Africa,,
OWID_SAM,South America,South America,,
KOR,Asia,South Korea,,
SSD,Africa,South Sudan,,
ESP,Europe,Spain,,
LKA,Asia,Sri Lanka,,
SDN,Africa,Sudan,,
SUR,South America,Suriname,,
SWE,Europe,Sweden,,
CHE,Europe,Switzerland,,
SYR,Asia,Syria,,
TWN,Asia,Taiwan,,
TJK,Asia,Tajikistan,,
TZA,Africa,Tanzania,,
THA,Asia,Thailand,,
TLS,Asia,Timor,,
TGO,Africa,Togo,,
TTO,North America,Trinidad and Tobago,,
TUN,Africa,Tunisia,,
TUR,Asia,Turkey,,
TKM,Asia,Turkmenistan,,
TCA,North America,Turks and Caicos Islands,,
UGA,Africa,Uganda,,
UKR,Europe,Ukraine,,
ARE,Asia,United Arab Emirates,,
GBR,Europe,United Kingdom,,
USA,North America,United States,,
VIR,North America,United States Virgin Islands,,
URY,South America,Uruguay,,
UZB,Asia,Uzbekistan,,
VAT,Europe,Vatican,,
VEN,South America,Venezuela,,
VNM,Asia,Vietnam,,
OWID_WLS,Europe,Wales,,
ESH,Africa,Western Sahara,,
YEM,Asia,Yemen,,
ZMB,Africa,Zambia,,
ZWE,Africa,Zimbabwe,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,`
